export_version,figure,panel,panel_title,plot_order,point_index,group,metric,rho,clip_cap,clip_cap_label,x,y,value,count,style_key,label
tikz-v2,figure4,B,adaptation,3,11,adaptation,oracle_tail_mismatch,0.5,inf,unclipped,2.299390006644913,4.056202406189767e-16,4.056202406189767e-16,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,12,adaptation,oracle_tail_mismatch,1.5,1.0,c=1,0.0,1.83230644076053,1.83230644076053,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,13,adaptation,oracle_tail_mismatch,1.5,1.5,c=1.5,0.17609125905568124,1.7373915129165414,1.7373915129165414,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,14,adaptation,oracle_tail_mismatch,1.5,2.0,c=2,0.3010299956639812,1.6618173385725417,1.6618173385725417,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,15,adaptation,oracle_tail_mismatch,1.5,3.0,c=3,0.47712125471966244,1.5441454838388222,1.5441454838388222,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,16,adaptation,oracle_tail_mismatch,1.5,5.0,c=5,0.6989700043360189,1.3796190248926377,1.3796190248926377,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,17,adaptation,oracle_tail_mismatch,1.5,8.0,c=8,0.9030899869919435,1.2168677623436834,1.2168677623436834,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,18,adaptation,oracle_tail_mismatch,1.5,13.0,c=13,1.1139433523068367,1.0427058689068496,1.0427058689068496,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,19,adaptation,oracle_tail_mismatch,1.5,21.0,c=21,1.3222192947339193,0.8701356308933299,0.8701356308933299,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,20,adaptation,oracle_tail_mismatch,1.5,34.0,c=34,1.5314789170422551,0.7016578826340838,0.7016578826340838,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,21,adaptation,oracle_tail_mismatch,1.5,55.0,c=55,1.7403626894942439,0.5434056347110502,0.5434056347110502,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,22,adaptation,oracle_tail_mismatch,1.5,89.0,c=89,1.9493900066449128,0.39936634116087616,0.39936634116087616,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,23,adaptation,oracle_tail_mismatch,1.5,inf,unclipped,2.299390006644913,4.899988939423892e-16,4.899988939423892e-16,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,24,adaptation,oracle_tail_mismatch,3.0,1.0,c=1,0.0,4.395939335800171,4.395939335800171,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,25,adaptation,oracle_tail_mismatch,3.0,1.5,c=1.5,0.17609125905568124,4.305284394921301,4.305284394921301,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,26,adaptation,oracle_tail_mismatch,3.0,2.0,c=2,0.3010299956639812,4.237803173613213,4.237803173613213,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,27,adaptation,oracle_tail_mismatch,3.0,3.0,c=3,0.47712125471966244,4.13825874779473,4.13825874779473,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,28,adaptation,oracle_tail_mismatch,3.0,5.0,c=5,0.6989700043360189,4.005523291863201,4.005523291863201,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,29,adaptation,oracle_tail_mismatch,3.0,8.0,c=8,0.9030899869919435,3.87628295843719,3.87628295843719,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,30,adaptation,oracle_tail_mismatch,3.0,13.0,c=13,1.1139433523068367,3.7357676221509393,3.7357676221509393,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,31,adaptation,oracle_tail_mismatch,3.0,21.0,c=21,1.3222192947339193,3.590155320065688,3.590155320065688,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,32,adaptation,oracle_tail_mismatch,3.0,34.0,c=34,1.5314789170422551,3.43725577764249,3.43725577764249,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,33,adaptation,oracle_tail_mismatch,3.0,55.0,c=55,1.7403626894942439,3.278292999118155,3.278292999118155,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,34,adaptation,oracle_tail_mismatch,3.0,89.0,c=89,1.9493900066449128,3.113180457429827,3.113180457429827,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,3,35,adaptation,oracle_tail_mismatch,3.0,inf,unclipped,2.299390006644913,5.231476506051585e-16,5.231476506051585e-16,500,mismatch,oracle shifted-null tail mismatch
tikz-v2,figure4,B,adaptation,4,0,adaptation,clipped_target_tv,0.5,1.0,c=1,0.0,0.11927086865297255,0.11927086865297255,500,tv,"TV(Q, Q_c)"
tikz-v2,figure4,B,adaptation,4,1,adaptation,clipped_target_tv,0.5,1.5,c=1.5,0.17609125905568124,0.056196310450112724,0.056196310450112724,500,tv,"TV(Q, Q_c)"
